n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,100.0,k-means++,None,1860.0,0.0011202573776245117
3,2,100.0,mb-kmeans,100.0,6600.0,0.004558706283569336
3,2,100.0,mb-kmeans,500.0,38250.0,0.006750965118408203
3,2,100.0,mb-kmeans,1000.0,64800.0,0.007170271873474121
3,2,100.0,rpkm,1.0,12.6,0.001264810562133789
3,2,100.0,rpkm,2.0,54.3,0.002552652359008789
3,2,100.0,rpkm,3.0,201.0,0.00433962345123291
3,2,100.0,rpkm,4.0,539.4,0.006338715553283691
3,2,100.0,rpkm,5.0,942.9,0.009206295013427734
3,2,100.0,rpkm,6.0,1276.5,0.014065909385681152
3,2,1000.0,k-means++,None,20400.0,0.0017052650451660155
3,2,1000.0,mb-kmeans,100.0,14850.0,0.005715179443359375
3,2,1000.0,mb-kmeans,500.0,37350.0,0.005704307556152343
3,2,1000.0,mb-kmeans,1000.0,72900.0,0.0072946310043334964
3,2,1000.0,rpkm,1.0,19.2,0.0016846418380737304
3,2,1000.0,rpkm,2.0,73.2,0.0032190799713134764
3,2,1000.0,rpkm,3.0,376.8,0.005125665664672851
3,2,1000.0,rpkm,4.0,909.0,0.008466982841491699
3,2,1000.0,rpkm,5.0,2085.6,0.014148378372192382
3,2,1000.0,rpkm,6.0,4678.2,0.027399754524230956
3,2,10000.0,k-means++,None,204000.0,0.14127118587493898
3,2,10000.0,mb-kmeans,100.0,103980.0,0.019928979873657226
3,2,10000.0,mb-kmeans,500.0,133500.0,0.010526680946350097
3,2,10000.0,mb-kmeans,1000.0,195000.0,0.014046382904052735
3,2,10000.0,rpkm,1.0,21.9,0.002579927444458008
3,2,10000.0,rpkm,2.0,79.8,0.004746675491333008
3,2,10000.0,rpkm,3.0,395.4,0.0076263189315795895
3,2,10000.0,rpkm,4.0,991.8,0.01212923526763916
3,2,10000.0,rpkm,5.0,3398.1,0.021181917190551756
3,2,10000.0,rpkm,6.0,7860.0,0.04637696743011475
3,2,100000.0,k-means++,None,2040000.0,0.1496194124221802
3,2,100000.0,mb-kmeans,100.0,924630.0,0.12223289012908936
3,2,100000.0,mb-kmeans,500.0,970500.0,0.04132213592529297
3,2,100000.0,mb-kmeans,1000.0,1048800.0,0.03472976684570313
3,2,100000.0,rpkm,1.0,22.2,0.01388561725616455
3,2,100000.0,rpkm,2.0,82.5,0.022719526290893556
3,2,100000.0,rpkm,3.0,412.8,0.03400199413299561
3,2,100000.0,rpkm,4.0,1068.0,0.04824328422546387
3,2,100000.0,rpkm,5.0,5052.0,0.07080824375152588
3,2,100000.0,rpkm,6.0,16935.6,0.11144433021545411
3,4,100.0,k-means++,None,2280.0,0.0012473821640014648
3,4,100.0,mb-kmeans,100.0,7530.0,0.005201005935668945
3,4,100.0,mb-kmeans,500.0,38250.0,0.006925725936889648
3,4,100.0,mb-kmeans,1000.0,54600.0,0.006265497207641602
3,4,100.0,rpkm,1.0,81.6,0.00139312744140625
3,4,100.0,rpkm,2.0,395.4,0.0033531665802001955
3,4,100.0,rpkm,3.0,1051.8,0.0063972949981689455
3,4,100.0,rpkm,4.0,1258.5,0.009525728225708009
3,4,100.0,rpkm,5.0,1258.5,0.011309266090393066
3,4,100.0,rpkm,6.0,1258.5,0.010841441154479981
3,4,1000.0,k-means++,None,24000.0,0.0018191576004028321
3,4,1000.0,mb-kmeans,100.0,16350.0,0.006737947463989258
3,4,1000.0,mb-kmeans,500.0,40650.0,0.0063382148742675785
3,4,1000.0,mb-kmeans,1000.0,61200.0,0.006362724304199219
3,4,1000.0,rpkm,1.0,108.3,0.001601266860961914
3,4,1000.0,rpkm,2.0,729.3,0.00427248477935791
3,4,1000.0,rpkm,3.0,3507.6,0.011769628524780274
3,4,1000.0,rpkm,4.0,8925.3,0.030233097076416016
3,4,1000.0,rpkm,5.0,13027.5,0.05562071800231934
3,4,1000.0,rpkm,6.0,15423.0,0.08211691379547119
3,4,10000.0,k-means++,None,225000.0,0.15447537899017333
3,4,10000.0,mb-kmeans,100.0,109620.0,0.024075961112976073
3,4,10000.0,mb-kmeans,500.0,130650.0,0.010417604446411132
3,4,10000.0,mb-kmeans,1000.0,176100.0,0.08757762908935547
3,4,10000.0,rpkm,1.0,138.0,0.0026261091232299806
3,4,10000.0,rpkm,2.0,814.2,0.006641459465026855
3,4,10000.0,rpkm,3.0,6000.3,0.01990199089050293
3,4,10000.0,rpkm,4.0,21660.9,0.0827627182006836
3,4,10000.0,rpkm,5.0,58816.8,0.32266921997070314
3,4,10000.0,rpkm,6.0,88254.6,0.6088308334350586
3,4,100000.0,k-means++,None,3000000.0,0.23756282329559325
3,4,100000.0,mb-kmeans,100.0,1058940.0,0.2142479419708252
3,4,100000.0,mb-kmeans,500.0,1060050.0,0.04797062873840332
3,4,100000.0,mb-kmeans,1000.0,1169700.0,0.1137882947921753
3,4,100000.0,rpkm,1.0,157.2,0.013077235221862793
3,4,100000.0,rpkm,2.0,976.5,0.02609539031982422
3,4,100000.0,rpkm,3.0,7588.5,0.05921623706817627
3,4,100000.0,rpkm,4.0,35313.9,0.19954469203948974
3,4,100000.0,rpkm,5.0,117678.3,0.9773447275161743
3,4,100000.0,rpkm,6.0,356317.8,2.927264380455017
3,8,100.0,k-means++,None,2730.0,0.0013950347900390625
3,8,100.0,mb-kmeans,100.0,8520.0,0.006112408638000488
3,8,100.0,mb-kmeans,500.0,39750.0,0.007502198219299316
3,8,100.0,mb-kmeans,1000.0,78600.0,0.009351444244384766
3,8,100.0,rpkm,1.0,737.4,0.0024607181549072266
3,8,100.0,rpkm,2.0,1476.6,0.0067544221878051754
3,8,100.0,rpkm,3.0,1476.6,0.009850072860717773
3,8,100.0,rpkm,4.0,1476.6,0.009050369262695312
3,8,100.0,rpkm,5.0,1476.6,0.009234046936035157
3,8,100.0,rpkm,6.0,1476.6,0.00900578498840332
3,8,1000.0,k-means++,None,27900.0,0.0021561622619628907
3,8,1000.0,mb-kmeans,100.0,18240.0,0.00902101993560791
3,8,1000.0,mb-kmeans,500.0,39450.0,0.007113146781921387
3,8,1000.0,mb-kmeans,1000.0,74700.0,0.008495378494262695
3,8,1000.0,rpkm,1.0,2833.5,0.0059719085693359375
3,8,1000.0,rpkm,2.0,10695.6,0.024815130233764648
3,8,1000.0,rpkm,3.0,27608.4,0.05341482162475586
