n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,100.0,k-means++,None,1560.0,0.0011462688446044922
3,2,100.0,mb-kmeans,100.0,6300.0,0.004613065719604492
3,2,100.0,mb-kmeans,500.0,37950.0,0.006749391555786133
3,2,100.0,mb-kmeans,1000.0,64500.0,0.007431316375732422
3,2,100.0,rpkm,1.0,12.6,0.0030057668685913087
3,2,100.0,rpkm,2.0,54.3,0.00360107421875
3,2,100.0,rpkm,3.0,201.0,0.004236841201782226
3,2,100.0,rpkm,4.0,539.4,0.006401252746582031
3,2,100.0,rpkm,5.0,942.9,0.009283661842346191
3,2,100.0,rpkm,6.0,1276.5,0.012543654441833496
3,2,1000.0,k-means++,None,17400.0,0.0015102624893188477
3,2,1000.0,mb-kmeans,100.0,11850.0,0.005875921249389649
3,2,1000.0,mb-kmeans,500.0,34350.0,0.008522391319274902
3,2,1000.0,mb-kmeans,1000.0,69900.0,0.007245826721191406
3,2,1000.0,rpkm,1.0,19.2,0.0014538288116455079
3,2,1000.0,rpkm,2.0,73.2,0.003495669364929199
3,2,1000.0,rpkm,3.0,376.8,0.005968260765075684
3,2,1000.0,rpkm,4.0,909.0,0.008100199699401855
3,2,1000.0,rpkm,5.0,2085.6,0.015763068199157716
3,2,1000.0,rpkm,6.0,4678.2,0.02643585205078125
3,2,10000.0,k-means++,None,174000.0,0.13615825176239013
3,2,10000.0,mb-kmeans,100.0,73980.0,0.02029373645782471
3,2,10000.0,mb-kmeans,500.0,103500.0,0.010543107986450195
3,2,10000.0,mb-kmeans,1000.0,165000.0,0.014004397392272949
3,2,10000.0,rpkm,1.0,21.9,0.0025777339935302733
3,2,10000.0,rpkm,2.0,79.8,0.00486762523651123
3,2,10000.0,rpkm,3.0,395.4,0.009066081047058106
3,2,10000.0,rpkm,4.0,991.8,0.012352490425109863
3,2,10000.0,rpkm,5.0,3398.1,0.021561598777770995
3,2,10000.0,rpkm,6.0,7860.0,0.045910310745239255
3,2,100000.0,k-means++,None,1740000.0,0.14393396377563478
3,2,100000.0,mb-kmeans,100.0,624630.0,0.1331536054611206
3,2,100000.0,mb-kmeans,500.0,670500.0,0.041783928871154785
3,2,100000.0,mb-kmeans,1000.0,748800.0,0.03128921985626221
3,2,100000.0,rpkm,1.0,22.2,0.014177775382995606
3,2,100000.0,rpkm,2.0,82.5,0.02730567455291748
3,2,100000.0,rpkm,3.0,412.8,0.035070252418518064
3,2,100000.0,rpkm,4.0,1068.0,0.047910761833190915
3,2,100000.0,rpkm,5.0,5052.0,0.06744465827941895
3,2,100000.0,rpkm,6.0,16935.6,0.16577529907226562
3,2,1000000.0,k-means++,None,16200000.0,0.3655174016952515
3,2,1000000.0,mb-kmeans,100.0,6555720.0,1.4783205270767212
3,2,1000000.0,mb-kmeans,500.0,6374400.0,0.32305519580841063
3,2,1000000.0,mb-kmeans,1000.0,7011900.0,0.26089742183685305
3,2,1000000.0,rpkm,1.0,19.8,0.12133209705352783
3,2,1000000.0,rpkm,2.0,75.3,0.20693352222442626
3,2,1000000.0,rpkm,3.0,375.9,0.3700430393218994
3,2,1000000.0,rpkm,4.0,1619.7,0.41959800720214846
3,2,1000000.0,rpkm,5.0,3620.7,0.6414197444915771
3,2,1000000.0,rpkm,6.0,8364.3,0.751220440864563
3,4,100.0,k-means++,None,1980.0,0.0013709068298339844
