n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,4000,k-means++,None,139200.0,0.014121007919311524
3,2,4000,mb-kmeans,100.0,35700.0,0.01667468547821045
3,2,4000,mb-kmeans,500.0,74400.0,0.029477143287658693
3,2,4000,mb-kmeans,1000.0,103500.0,0.04564013481140137
3,2,4000,rpkm,1.0,21.3,0.005489349365234375
3,2,4000,rpkm,2.0,76.2,0.005070400238037109
3,2,4000,rpkm,3.0,441.0,0.008933305740356445
3,2,4000,rpkm,4.0,1702.5,0.01194455623626709
3,2,4000,rpkm,5.0,3574.2,0.019893980026245116
3,2,4000,rpkm,6.0,6202.8,0.03643145561218262
3,2,12000,k-means++,None,360000.0,0.261137866973877
3,2,12000,mb-kmeans,100.0,91380.0,0.027062177658081055
3,2,12000,mb-kmeans,500.0,126900.0,0.015140318870544433
3,2,12000,mb-kmeans,1000.0,189000.0,0.017460560798645018
3,2,12000,rpkm,1.0,22.8,0.0047512054443359375
3,2,12000,rpkm,2.0,72.6,0.007164764404296875
3,2,12000,rpkm,3.0,553.2,0.010312223434448242
3,2,12000,rpkm,4.0,1706.1,0.015695643424987794
3,2,12000,rpkm,5.0,3312.3,0.024027061462402344
3,2,12000,rpkm,6.0,8807.1,0.04653232097625733
3,2,40000,k-means++,None,1332000.0,0.2591912269592285
3,2,40000,mb-kmeans,100.0,304830.0,0.08816580772399903
3,2,40000,mb-kmeans,500.0,332850.0,0.0265408992767334
3,2,40000,mb-kmeans,1000.0,422400.0,0.034044742584228516
3,2,40000,rpkm,1.0,22.8,0.009870505332946778
3,2,40000,rpkm,2.0,76.2,0.01514289379119873
3,2,40000,rpkm,3.0,514.5,0.021719861030578613
3,2,40000,rpkm,4.0,2250.6,0.02856020927429199
3,2,40000,rpkm,5.0,4268.1,0.040689492225646974
3,2,40000,rpkm,6.0,11573.4,0.07576985359191894
3,2,120000,k-means++,None,3672000.0,0.24267752170562745
3,2,120000,mb-kmeans,100.0,813780.0,0.1899723529815674
3,2,120000,mb-kmeans,500.0,868650.0,0.05100319385528564
3,2,120000,mb-kmeans,1000.0,869100.0,0.04947497844696045
