n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,2,4000,k-means++,None,151200.0,0.005189132690429687
3,2,4000,mb-kmeans,100.0,47700.0,0.013703584671020508
3,2,4000,mb-kmeans,500.0,86400.0,0.01125788688659668
3,2,4000,mb-kmeans,1000.0,115500.0,0.014031696319580077
3,2,4000,rpkm,1.0,21.3,0.0038953304290771486
3,2,4000,rpkm,2.0,76.2,0.0042537212371826175
3,2,4000,rpkm,3.0,441.0,0.008005046844482422
3,2,4000,rpkm,4.0,1702.5,0.012252616882324218
3,2,4000,rpkm,5.0,3574.2,0.01775670051574707
3,2,4000,rpkm,6.0,6202.8,0.03522093296051025
3,2,12000,k-means++,None,396000.0,0.2184298276901245
3,2,12000,mb-kmeans,100.0,127380.0,0.027333331108093262
3,2,12000,mb-kmeans,500.0,162900.0,0.013821792602539063
3,2,12000,mb-kmeans,1000.0,225000.0,0.01628589630126953
3,2,12000,rpkm,1.0,22.8,0.004485583305358887
3,2,12000,rpkm,2.0,72.6,0.007582950592041016
3,2,12000,rpkm,3.0,553.2,0.009291887283325195
3,2,12000,rpkm,4.0,1706.1,0.014080333709716796
3,2,12000,rpkm,5.0,3312.3,0.023011326789855957
3,2,12000,rpkm,6.0,8807.1,0.04473192691802978
3,2,40000,k-means++,None,1452000.0,0.22592499256134033
3,2,40000,mb-kmeans,100.0,424830.0,0.0840731143951416
3,2,40000,mb-kmeans,500.0,452850.0,0.0262270450592041
3,2,40000,mb-kmeans,1000.0,542400.0,0.027021193504333497
3,2,40000,rpkm,1.0,22.8,0.00881805419921875
3,2,40000,rpkm,2.0,76.2,0.015015339851379395
3,2,40000,rpkm,3.0,514.5,0.02060565948486328
3,2,40000,rpkm,4.0,2250.6,0.026438260078430177
3,2,40000,rpkm,5.0,4268.1,0.03922886848449707
3,2,40000,rpkm,6.0,11573.4,0.06815116405487061
3,2,120000,k-means++,None,4032000.0,0.23067278861999513
3,2,120000,mb-kmeans,100.0,1173780.0,0.19002461433410645
3,2,120000,mb-kmeans,500.0,1228650.0,0.053289937973022464
3,2,120000,mb-kmeans,1000.0,1229100.0,0.04141266345977783
3,2,120000,rpkm,1.0,23.4,0.021942138671875
3,2,120000,rpkm,2.0,74.7,0.03407893180847168
3,2,120000,rpkm,3.0,516.0,0.046925830841064456
3,2,120000,rpkm,4.0,2264.1,0.0643784761428833
3,2,120000,rpkm,5.0,4242.0,0.08524777889251708
3,2,120000,rpkm,6.0,10264.5,0.13256340026855468
3,2,400000,k-means++,None,11160000.0,0.24752418994903563
3,2,400000,mb-kmeans,100.0,4011750.0,0.6800110816955567
3,2,400000,mb-kmeans,500.0,4497750.0,0.23787813186645507
3,2,400000,mb-kmeans,1000.0,4357500.0,0.14195494651794432
3,2,400000,rpkm,1.0,24.0,0.07535269260406494
3,2,400000,rpkm,2.0,75.6,0.11672816276550294
3,2,400000,rpkm,3.0,526.5,0.15332319736480712
3,2,400000,rpkm,4.0,2338.2,0.18365013599395752
3,2,400000,rpkm,5.0,4444.5,0.23897414207458495
3,2,400000,rpkm,6.0,10929.3,0.30347557067871095
3,2,1200000,k-means++,None,31680000.0,0.394408655166626
3,2,1200000,mb-kmeans,100.0,11947110.0,2.013384795188904
3,2,1200000,mb-kmeans,500.0,11797500.0,0.444614839553833
3,2,1200000,mb-kmeans,1000.0,12684900.0,0.39581451416015623
3,2,1200000,rpkm,1.0,23.7,0.19726378917694093
3,2,1200000,rpkm,2.0,73.5,0.3038693904876709
3,2,1200000,rpkm,3.0,473.4,0.42249560356140137
3,2,1200000,rpkm,4.0,1798.5,0.5436798334121704
3,2,1200000,rpkm,5.0,4487.4,0.6811164379119873
3,2,1200000,rpkm,6.0,10182.9,0.8516262531280517
3,2,4000000,k-means++,None,133200000.0,1.104822301864624
3,2,4000000,mb-kmeans,100.0,36580200.0,4.729391551017761
3,2,4000000,mb-kmeans,500.0,40261800.0,1.681366777420044
3,2,4000000,mb-kmeans,1000.0,45824100.0,1.7142187118530274
3,2,4000000,rpkm,1.0,10.5,0.36108238697052003
3,2,4000000,rpkm,2.0,42.9,0.7903957843780518
3,2,4000000,rpkm,3.0,174.0,1.2633134603500367
3,2,4000000,rpkm,4.0,643.2,1.7160237550735473
3,2,4000000,rpkm,5.0,2214.9,2.351640820503235
3,2,4000000,rpkm,6.0,5201.1,2.8997748851776124
3,4,4000,k-means++,None,130800.0,0.08022232055664062
3,4,4000,mb-kmeans,100.0,47040.0,0.013376998901367187
3,4,4000,mb-kmeans,500.0,82500.0,0.010897183418273925
3,4,4000,mb-kmeans,1000.0,123600.0,0.0856330156326294
3,4,4000,rpkm,1.0,96.0,0.002769136428833008
3,4,4000,rpkm,2.0,478.2,0.005497431755065918
3,4,4000,rpkm,3.0,2255.4,0.01049058437347412
3,4,4000,rpkm,4.0,8903.4,0.023115062713623048
3,4,4000,rpkm,5.0,22810.8,0.05998239517211914
3,4,4000,rpkm,6.0,38878.8,0.11127614974975586
3,4,12000,k-means++,None,518400.0,0.2758558034896851
3,4,12000,mb-kmeans,100.0,126180.0,0.027390360832214355
3,4,12000,mb-kmeans,500.0,170850.0,0.015544652938842773
3,4,12000,mb-kmeans,1000.0,221700.0,0.0889291524887085
3,4,12000,rpkm,1.0,111.6,0.004085326194763183
3,4,12000,rpkm,2.0,573.0,0.007569313049316406
3,4,12000,rpkm,3.0,2469.6,0.014300394058227538
3,4,12000,rpkm,4.0,8571.0,0.03250575065612793
3,4,12000,rpkm,5.0,34778.1,0.08186633586883545
3,4,12000,rpkm,6.0,52915.5,0.2255342960357666
3,4,40000,k-means++,None,1320000.0,0.24690234661102295
3,4,40000,mb-kmeans,100.0,414750.0,0.07927911281585694
3,4,40000,mb-kmeans,500.0,416400.0,0.02017538547515869
3,4,40000,mb-kmeans,1000.0,483000.0,0.09809787273406982
3,4,40000,rpkm,1.0,105.3,0.009163689613342286
3,4,40000,rpkm,2.0,588.6,0.01601278781890869
3,4,40000,rpkm,3.0,2696.4,0.02744758129119873
3,4,40000,rpkm,4.0,19351.2,0.05508131980895996
3,4,40000,rpkm,5.0,37542.6,0.13524138927459717
3,4,40000,rpkm,6.0,80404.8,0.4059027433395386
3,4,120000,k-means++,None,5364000.0,0.33236539363861084
3,4,120000,mb-kmeans,100.0,1224390.0,0.22288682460784912
3,4,120000,mb-kmeans,500.0,1212000.0,0.05090651512145996
3,4,120000,mb-kmeans,1000.0,1349400.0,0.12291898727416992
3,4,120000,rpkm,1.0,105.0,0.028892159461975098
3,4,120000,rpkm,2.0,650.4,0.04247748851776123
3,4,120000,rpkm,3.0,4630.2,0.05799546241760254
3,4,120000,rpkm,4.0,19533.6,0.0946641206741333
3,4,120000,rpkm,5.0,41613.0,0.2268310785293579
3,4,120000,rpkm,6.0,111672.0,0.6579350233078003
3,4,400000,k-means++,None,14640000.0,0.3158170223236084
3,4,400000,mb-kmeans,100.0,3963930.0,0.6508752107620239
3,4,400000,mb-kmeans,500.0,4131900.0,0.18715221881866456
3,4,400000,mb-kmeans,1000.0,4492500.0,0.22661161422729492
3,4,400000,rpkm,1.0,107.1,0.0767164945602417
3,4,400000,rpkm,2.0,653.4,0.12158167362213135
3,4,400000,rpkm,3.0,3330.9,0.16760773658752443
3,4,400000,rpkm,4.0,19318.8,0.2351210594177246
3,4,400000,rpkm,5.0,50684.7,0.4210470914840698
3,4,400000,rpkm,6.0,400161.3,1.1160876750946045
3,4,1200000,k-means++,None,45720000.0,0.5099121809005738
3,4,1200000,mb-kmeans,100.0,12394110.0,2.3637792825698853
3,4,1200000,mb-kmeans,500.0,11809350.0,0.5611211776733398
3,4,1200000,mb-kmeans,1000.0,13271400.0,0.6421313524246216
3,4,1200000,rpkm,1.0,82.8,0.1931072950363159
3,4,1200000,rpkm,2.0,391.2,0.32620084285736084
3,4,1200000,rpkm,3.0,2726.4,0.4943819999694824
3,4,1200000,rpkm,4.0,11096.1,0.7050390481948853
3,4,1200000,rpkm,5.0,33285.3,1.0003758192062377
3,4,1200000,rpkm,6.0,131021.7,1.8415462970733643
3,4,4000000,k-means++,None,134400000.0,1.1848040342330932
3,4,4000000,mb-kmeans,100.0,38128470.0,5.598265480995178
3,4,4000000,mb-kmeans,500.0,40600800.0,1.7081625699996947
3,4,4000000,mb-kmeans,1000.0,43923300.0,1.5782375574111938
3,4,4000000,rpkm,1.0,34.8,0.3616528272628784
3,4,4000000,rpkm,2.0,167.4,0.7893110752105713
3,4,4000000,rpkm,3.0,853.8,1.340736699104309
3,4,4000000,rpkm,4.0,5124.3,1.9095628023147584
3,4,4000000,rpkm,5.0,14963.1,2.571271061897278
3,4,4000000,rpkm,6.0,54588.0,3.525476360321045
3,8,4000,k-means++,None,130800.0,0.08208158016204833
