dataset,instances,dimensions,iterations,RPKM_distances,k-means++_distances,instance_ratio,stderror,ami,sil_error,chs_error,dbs_error
arrhythmia,452,262,2.0,83453.5,52884.0,1.0,-0.005956110863421242,0.6269614782490458,0.004998013169503403,0.03335448115104458,0.011541828284597617
balance-scale,625,4,2.0,532.5,7500.0,1.0,-0.03842557819576177,0.17746590797646922,0.001083780134610613,0.00613760338185046,0.0030760165581501728
cpu,209,6,6.0,175218.0,1563738.0,0.9043062200956937,-2.0710229434915335,0.6550572038313407,0.035988290084549304,0.471518464208189,0.20623154516320769
dermatology,366,34,2.0,16434.0,12078.0,1.0,-0.0650614582263464,0.8534479991021218,0.015884239931921007,0.05515063380439806,0.08916992331095144
ecoli,336,7,5.0,39264.0,25536.0,1.0,-0.009976705975685254,0.8365361497640683,0.001025204222272088,0.013500476023374747,0.03604258518706685
german,1000,20,4.0,17419.0,11000.0,1.0,-0.043650700080236506,0.5000889817510843,0.004862608599707404,0.20220691238579988,0.042504792448928595
glass,214,9,6.0,9384.0,12198.0,0.985981308411215,-0.21041606372822902,0.5792481896869877,0.03328474128321958,0.15135767563845437,0.029736686342494743
haberman,306,3,6.0,3729.0,4590.0,0.869281045751634,-8.162292165992485e-05,0.9560809837718718,6.420046652448805e-07,9.327039678372871e-05,3.570059419353887e-05
heart-statlog,270,13,3.0,2428.0,2430.0,1.0,-0.06489918112588368,0.5117517405979063,0.019304697018748092,0.1780570061875527,0.06345618255450433
iono,351,34,6.0,6600.0,5265.0,0.9971509971509972,-5.90244078369393e-06,0.987238545841333,0.00021716978386466084,1.1904871028387883e-05,0.0003837995049291875
iris,150,4,6.0,2994.0,3600.0,0.9666666666666667,-0.2793724839363033,0.7904101372038461,0.0011078196881083423,0.13772902913805385,0.03104374231963259
letter,20000,16,6.0,35591621.0,10140000.0,0.9334,-0.027060608399801293,0.7634260496456253,0.0002760640678383355,0.020957879195220352,0.01404511861784723
segment,2310,19,6.0,124670.0,161700.0,0.8904761904761904,0.06810178305148434,0.8011791724144861,0.022543216981331434,0.0458320822462779,0.09199663139639501
sonar,208,60,2.0,2224.0,1456.0,1.0,-0.0004872620732392385,0.17262441077087015,0.010910749377215345,0.0014663756982203205,0.01876896697703478
tae,151,5,6.0,1935.0,3624.0,0.6821192052980133,-0.13750604588444454,0.35776723616278083,0.027135321197707153,0.14448224004092697,0.15928937987289854
thy,215,5,6.0,2415.0,5160.0,0.986046511627907,0.0,1.0,0.0,0.0,0.0
vehicle,846,18,4.0,43242.0,21996.0,1.0,-0.011015955904723587,0.7673547753600594,0.003507010339481076,0.00910415396955515,0.0174572550638368
vowel,990,13,6.0,136675.0,130680.0,0.996969696969697,-0.119858444506803,0.7997869268225493,0.022187594611827018,0.07412124587022037,0.029675545643879038
wisc,699,9,6.0,6686.0,10485.0,0.6623748211731044,0.0,1.0,0.0,0.0,0.0
zoo,101,16,6.0,3769.5,7070.0,0.5841584158415841,-0.01737406159693113,0.7938443630531979,0.007338048066829713,0.05523012699080607,0.05622763106042994
