n_clusters,n_dims,n_samples,algorithm,param,std_error
3,2,100.0,rpkm,1,-0.44668946083783395
3,2,100.0,rpkm,2,-0.21084892938535868
3,2,100.0,rpkm,3,-0.10538757688116891
3,2,100.0,rpkm,4,-0.00038934274968776785
3,2,100.0,rpkm,5,0.0
3,2,100.0,rpkm,6,-2.890746271397321e-17
3,2,1000.0,rpkm,1,-0.8246970116364641
3,2,1000.0,rpkm,2,-0.4838072095412523
3,2,1000.0,rpkm,3,-0.010045418312773205
3,2,1000.0,rpkm,4,-0.0017085656271522975
3,2,1000.0,rpkm,5,-0.0010678942205714901
3,2,1000.0,rpkm,6,-8.805308811069956e-05
3,2,10000.0,rpkm,1,-0.6932491205594115
3,2,10000.0,rpkm,2,-0.4851071765554658
3,2,10000.0,rpkm,3,-0.012204999845406624
3,2,10000.0,rpkm,4,-0.005600218005203456
3,2,10000.0,rpkm,5,-0.0034036149768183186
3,2,10000.0,rpkm,6,-0.002879045859377627
3,2,100000.0,rpkm,1,-0.7969904496328862
3,2,100000.0,rpkm,2,-0.5762664272079341
3,2,100000.0,rpkm,3,-0.20408512333844125
3,2,100000.0,rpkm,4,-0.18742993589714121
3,2,100000.0,rpkm,5,-6.13740730857847e-05
3,2,100000.0,rpkm,6,-6.13740730857847e-05
3,2,1000000.0,rpkm,1,-0.6926412872115941
3,2,1000000.0,rpkm,2,-0.6306846724084666
3,2,1000000.0,rpkm,3,-0.30720883896640083
3,2,1000000.0,rpkm,4,-0.010567777334810072
3,2,1000000.0,rpkm,5,-0.0015374621464043243
3,2,1000000.0,rpkm,6,-0.0007461050527751902
3,4,100.0,rpkm,1,-0.07539167607072252
3,4,100.0,rpkm,2,-0.04727788035033046
3,4,100.0,rpkm,3,-0.0005017009798078801
3,4,100.0,rpkm,4,-0.0002641923398915012
3,4,100.0,rpkm,5,-0.0002641923398915012
3,4,100.0,rpkm,6,-0.0002641923398915012
3,4,1000.0,rpkm,1,-0.22426931116821297
3,4,1000.0,rpkm,2,-0.00818907309861697
3,4,1000.0,rpkm,3,-0.00023886498249172023
3,4,1000.0,rpkm,4,-6.580182483939037e-06
3,4,1000.0,rpkm,5,0.0
3,4,1000.0,rpkm,6,0.0
3,4,10000.0,rpkm,1,-0.12780782438632532
3,4,10000.0,rpkm,2,-0.01724558566204579
3,4,10000.0,rpkm,3,-0.0003445568864919664
3,4,10000.0,rpkm,4,-0.0001548399118876195
3,4,10000.0,rpkm,5,0.0
3,4,10000.0,rpkm,6,0.0
3,4,100000.0,rpkm,1,-0.27625002036695767
3,4,100000.0,rpkm,2,-0.027137428329715114
3,4,100000.0,rpkm,3,-0.00024015098577615727
3,4,100000.0,rpkm,4,0.0
3,4,100000.0,rpkm,5,0.0
3,4,100000.0,rpkm,6,0.0
3,4,1000000.0,rpkm,1,-0.45057578248198604
3,4,1000000.0,rpkm,2,-0.024966565174035203
3,4,1000000.0,rpkm,3,-0.0005662430515887039
3,4,1000000.0,rpkm,4,-1.3371465956565234e-05
3,4,1000000.0,rpkm,5,-1.3371465956645794e-05
3,4,1000000.0,rpkm,6,-1.3371465956608165e-05
3,6,100.0,rpkm,1,-0.12808820874824645
3,6,100.0,rpkm,2,-0.0007016994979409101
3,6,100.0,rpkm,3,-0.0005468782345222278
3,6,100.0,rpkm,4,-0.0005468782345222278
3,6,100.0,rpkm,5,-0.0005468782345222278
3,6,100.0,rpkm,6,-0.0005468782345222278
3,6,1000.0,rpkm,1,-0.005159641288367952
3,6,1000.0,rpkm,2,-0.0023464666025200644
3,6,1000.0,rpkm,3,-1.4644592738307434e-05
3,6,1000.0,rpkm,4,-2.3390554850093506e-17
3,6,1000.0,rpkm,5,0.0
3,6,1000.0,rpkm,6,0.0
3,6,10000.0,rpkm,1,-0.005949973778023615
3,6,10000.0,rpkm,2,-0.002989926751292894
3,6,10000.0,rpkm,3,-2.7352888832301703e-05
3,6,10000.0,rpkm,4,0.0
3,6,10000.0,rpkm,5,-2.318289451641116e-17
3,6,10000.0,rpkm,6,2.2547257049293663e-17
3,6,100000.0,rpkm,1,-0.1801979497765732
3,6,100000.0,rpkm,2,-0.09950975944942198
3,6,100000.0,rpkm,3,-9.550810066691966e-05
3,6,100000.0,rpkm,4,0.0
3,6,100000.0,rpkm,5,0.0
3,6,100000.0,rpkm,6,0.0
3,6,1000000.0,rpkm,1,-0.005668411026901867
3,6,1000000.0,rpkm,2,-0.003828424085789384
3,6,1000000.0,rpkm,3,-0.0001237153925556313
3,6,1000000.0,rpkm,4,0.0
3,6,1000000.0,rpkm,5,0.0
3,6,1000000.0,rpkm,6,0.0
3,8,100.0,rpkm,1,-0.020110462708873296
3,8,100.0,rpkm,2,-0.00014314481316360448
3,8,100.0,rpkm,3,-0.00014314481316360448
3,8,100.0,rpkm,4,-0.00014314481316360448
3,8,100.0,rpkm,5,-0.00014314481316360448
3,8,100.0,rpkm,6,-0.00014314481316360448
3,8,1000.0,rpkm,1,-0.06095655144090169
3,8,1000.0,rpkm,2,-0.0008486565920263771
3,8,1000.0,rpkm,3,-4.737195084577267e-06
3,8,1000.0,rpkm,4,-4.737195084577267e-06
3,8,1000.0,rpkm,5,-4.737195084577267e-06
3,8,1000.0,rpkm,6,-4.737195084577267e-06
3,8,10000.0,rpkm,1,-0.007952728750724043
3,8,10000.0,rpkm,2,-0.0011680963385108211
3,8,10000.0,rpkm,3,-9.52953705729952e-06
3,8,10000.0,rpkm,4,0.0
3,8,10000.0,rpkm,5,-2.559546225064862e-17
3,8,10000.0,rpkm,6,-2.559546225064862e-17
3,8,100000.0,rpkm,1,-0.00854048471761599
3,8,100000.0,rpkm,2,-0.002743173132658541
3,8,100000.0,rpkm,3,-2.227045580508369e-05
3,8,100000.0,rpkm,4,0.0
3,8,100000.0,rpkm,5,0.0
3,8,100000.0,rpkm,6,3.326091853482669e-17
3,8,1000000.0,rpkm,1,-0.06348649031578538
3,8,1000000.0,rpkm,2,-0.05897535290592568
3,8,1000000.0,rpkm,3,-4.097864269830959e-05
3,8,1000000.0,rpkm,4,0.0
3,8,1000000.0,rpkm,5,0.0
3,8,1000000.0,rpkm,6,0.0
9,2,100.0,rpkm,1,-1.853811407710007
9,2,100.0,rpkm,2,-0.055835123929160554
9,2,100.0,rpkm,3,-0.03059760766583052
9,2,100.0,rpkm,4,-0.001119296889632266
9,2,100.0,rpkm,5,1.0114009599010824e-17
9,2,100.0,rpkm,6,0.0
9,2,1000.0,rpkm,1,-1.1057779831494428
9,2,1000.0,rpkm,2,-0.025645716962278346
9,2,1000.0,rpkm,3,-0.01993535171885938
9,2,1000.0,rpkm,4,-0.006977407881339314
9,2,1000.0,rpkm,5,-0.0025834873065327373
9,2,1000.0,rpkm,6,-3.322735323406921e-05
9,2,10000.0,rpkm,1,-0.19470610838466973
9,2,10000.0,rpkm,2,-0.05763663899746361
9,2,10000.0,rpkm,3,-0.01888321931926807
9,2,10000.0,rpkm,4,-0.005101877110608614
9,2,10000.0,rpkm,5,-0.000854452831969869
9,2,10000.0,rpkm,6,-8.93613912977761e-05
9,2,100000.0,rpkm,1,-0.24286258782699766
9,2,100000.0,rpkm,2,-0.06911802245192541
9,2,100000.0,rpkm,3,-0.01880166674478056
9,2,100000.0,rpkm,4,-0.005584277336096689
9,2,100000.0,rpkm,5,-0.0015496503216688286
9,2,100000.0,rpkm,6,-0.00015072144340147627
9,2,1000000.0,rpkm,1,-0.504383011146178
9,2,1000000.0,rpkm,2,-0.43578320262633036
9,2,1000000.0,rpkm,3,-0.33185333018098645
9,2,1000000.0,rpkm,4,-0.034562973272696876
9,2,1000000.0,rpkm,5,-0.0016584186770791302
9,2,1000000.0,rpkm,6,-0.0002442695989260819
9,4,100.0,rpkm,1,-0.2864182010319806
9,4,100.0,rpkm,2,-0.13453449736623385
9,4,100.0,rpkm,3,1.0673869370183435e-17
9,4,100.0,rpkm,4,1.067386937018344e-17
9,4,100.0,rpkm,5,1.067386937018344e-17
9,4,100.0,rpkm,6,1.067386937018344e-17
9,4,1000.0,rpkm,1,-0.6365248494486621
9,4,1000.0,rpkm,2,-0.054514446420433446
9,4,1000.0,rpkm,3,-0.007775506905123496
9,4,1000.0,rpkm,4,-0.0010127923686037747
9,4,1000.0,rpkm,5,-6.041101598155316e-05
9,4,1000.0,rpkm,6,3.8979865316873427e-17
9,4,10000.0,rpkm,1,-0.40152954191322665
9,4,10000.0,rpkm,2,-0.0932150849424767
9,4,10000.0,rpkm,3,-0.059292374225414016
9,4,10000.0,rpkm,4,-0.0009102313180486054
9,4,10000.0,rpkm,5,-4.867825570531533e-05
9,4,10000.0,rpkm,6,-4.3112025206995604e-06
9,4,100000.0,rpkm,1,-0.6916115773458951
9,4,100000.0,rpkm,2,-0.1267697960301914
9,4,100000.0,rpkm,3,-0.048079539040171586
9,4,100000.0,rpkm,4,-0.04222092690754013
9,4,100000.0,rpkm,5,-0.00044478272386404527
9,4,100000.0,rpkm,6,-6.52745957696477e-06
9,4,1000000.0,rpkm,1,-0.7474493372697496
9,4,1000000.0,rpkm,2,-0.24534435648715314
9,4,1000000.0,rpkm,3,-0.03108154260032765
9,4,1000000.0,rpkm,4,-0.0017553994411699824
9,4,1000000.0,rpkm,5,-0.0003782010935882156
9,4,1000000.0,rpkm,6,-1.5742445215021607e-05
9,6,100.0,rpkm,1,-0.13558365291537544
9,6,100.0,rpkm,2,-0.0530566123998892
9,6,100.0,rpkm,3,3.820002752993948e-17
9,6,100.0,rpkm,4,3.820002752993948e-17
9,6,100.0,rpkm,5,3.820002752993948e-17
9,6,100.0,rpkm,6,3.820002752993948e-17
9,6,1000.0,rpkm,1,-0.5887367525825844
9,6,1000.0,rpkm,2,-0.06150843279434006
9,6,1000.0,rpkm,3,-0.0026305115316166586
9,6,1000.0,rpkm,4,-2.7269368162968257e-05
9,6,1000.0,rpkm,5,-2.4145485821408507e-05
9,6,1000.0,rpkm,6,-2.414548582145018e-05
9,6,10000.0,rpkm,1,-0.17050754479959884
9,6,10000.0,rpkm,2,-0.08904200840014136
9,6,10000.0,rpkm,3,-0.0008640205097333066
9,6,10000.0,rpkm,4,-5.3488215086489154e-05
9,6,10000.0,rpkm,5,0.0
9,6,10000.0,rpkm,6,-2.4837706605240583e-17
9,6,100000.0,rpkm,1,-0.34774295181526227
9,6,100000.0,rpkm,2,-0.27211300548785144
9,6,100000.0,rpkm,3,-0.18739829989770587
9,6,100000.0,rpkm,4,-0.00018125764592299618
9,6,100000.0,rpkm,5,-1.056167709233631e-05
9,6,100000.0,rpkm,6,0.0
9,6,1000000.0,rpkm,1,-0.2615007975881074
9,6,1000000.0,rpkm,2,-0.08805154722290473
9,6,1000000.0,rpkm,3,-0.003976415691978295
9,6,1000000.0,rpkm,4,-0.0013816382522980728
9,6,1000000.0,rpkm,5,-7.866535962529201e-05
9,6,1000000.0,rpkm,6,-2.4115585851364332e-06
9,8,100.0,rpkm,1,-0.1770111931423761
9,8,100.0,rpkm,2,-0.0004585971021437136
9,8,100.0,rpkm,3,-0.0004585971021437136
9,8,100.0,rpkm,4,-0.0004585971021437136
9,8,100.0,rpkm,5,-0.0004585971021437136
9,8,100.0,rpkm,6,-0.0004585971021437136
9,8,1000.0,rpkm,1,-0.024042312840552936
9,8,1000.0,rpkm,2,-0.0031782497763929154
9,8,1000.0,rpkm,3,-2.5809099487326353e-05
9,8,1000.0,rpkm,4,-1.994495890141303e-05
9,8,1000.0,rpkm,5,-1.994495890141303e-05
9,8,1000.0,rpkm,6,-1.9944958901380964e-05
9,8,10000.0,rpkm,1,-0.05130946391734527
9,8,10000.0,rpkm,2,-0.03436042412144965
9,8,10000.0,rpkm,3,-0.02437796839009518
9,8,10000.0,rpkm,4,0.0
9,8,10000.0,rpkm,5,-4.4503268277584015e-17
9,8,10000.0,rpkm,6,-4.4503268277584015e-17
9,8,100000.0,rpkm,1,-0.0874897190164119
9,8,100000.0,rpkm,2,-0.0679936525402495
9,8,100000.0,rpkm,3,-0.0012102595271706997
9,8,100000.0,rpkm,4,-2.4525581324633022e-06
9,8,100000.0,rpkm,5,0.0
9,8,100000.0,rpkm,6,0.0
9,8,1000000.0,rpkm,1,-0.1289100492254004
9,8,1000000.0,rpkm,2,-0.11810669468522142
9,8,1000000.0,rpkm,3,-0.03393953266801564
9,8,1000000.0,rpkm,4,-0.0003250488604604852
9,8,1000000.0,rpkm,5,0.0
9,8,1000000.0,rpkm,6,0.0
