n_clusters,n_dims,n_samples,algorithm,param,std_error
3,2,4000,rpkm,1,-0.27869023229682616
3,2,4000,rpkm,2,-0.18479755491578856
3,2,4000,rpkm,3,-0.07745669435699916
3,2,4000,rpkm,4,-0.0049955629054130425
3,2,4000,rpkm,5,-0.0007271809999447425
3,2,4000,rpkm,6,-0.00031757100250431804
3,2,12000,rpkm,1,-0.2535584267743452
3,2,12000,rpkm,2,-0.18282486364602135
3,2,12000,rpkm,3,-0.0416563362745228
3,2,12000,rpkm,4,-0.005407073118437611
3,2,12000,rpkm,5,-0.004477381201921772
3,2,12000,rpkm,6,-0.0005164082763947392
3,2,40000,rpkm,1,-0.3209648375971224
3,2,40000,rpkm,2,-0.2272219444489305
3,2,40000,rpkm,3,-0.0883865021912649
3,2,40000,rpkm,4,-0.0056173564441846955
3,2,40000,rpkm,5,-0.0037159815837579354
3,2,40000,rpkm,6,-0.00012269294249928292
3,2,120000,rpkm,1,-0.27461061826902405
3,2,120000,rpkm,2,-0.18150249291245238
3,2,120000,rpkm,3,-0.08470629505758545
3,2,120000,rpkm,4,-0.0020970799643880776
3,2,120000,rpkm,5,-0.0004324716654013533
3,2,120000,rpkm,6,-0.00025840312165965787
3,2,400000,rpkm,1,-0.2762354370294629
3,2,400000,rpkm,2,-0.18252502309316548
3,2,400000,rpkm,3,-0.0849903469280666
3,2,400000,rpkm,4,-0.002046589535000719
3,2,400000,rpkm,5,-0.0003170856594477122
3,2,400000,rpkm,6,-0.0002404807773779133
3,2,1200000,rpkm,1,-0.6114151256609985
3,2,1200000,rpkm,2,-0.5178661186116209
3,2,1200000,rpkm,3,-0.16646338290140714
3,2,1200000,rpkm,4,-0.07836673586962647
3,2,1200000,rpkm,5,-0.0004493915618662661
3,2,1200000,rpkm,6,-0.0002901531170887134
3,2,4000000,rpkm,1,-2.2441460561974846
3,2,4000000,rpkm,2,-1.4580813447841492
3,2,4000000,rpkm,3,-0.7200443963320897
3,2,4000000,rpkm,4,-0.13563680489302365
3,2,4000000,rpkm,5,-0.0020775796341117687
3,2,4000000,rpkm,6,-0.00041623357470347113
3,4,4000,rpkm,1,-0.24842824400995517
3,4,4000,rpkm,2,-0.1310804026900202
3,4,4000,rpkm,3,-0.06920560733784355
3,4,4000,rpkm,4,-0.06305685622271848
3,4,4000,rpkm,5,-0.05224625283441753
3,4,4000,rpkm,6,0.0
3,4,12000,rpkm,1,-0.32076034932922937
3,4,12000,rpkm,2,-0.24274432158549814
3,4,12000,rpkm,3,-0.13767737918688416
3,4,12000,rpkm,4,-0.009370486817178851
3,4,12000,rpkm,5,-0.0004135983399274483
3,4,12000,rpkm,6,-0.0003904203785224463
3,4,40000,rpkm,1,-0.11431030243894451
3,4,40000,rpkm,2,-0.030983456063235992
3,4,40000,rpkm,3,-0.015197011076999814
3,4,40000,rpkm,4,-0.0003610830728321805
3,4,40000,rpkm,5,-0.00025141498446361375
